sacc	naccs	length	slen	cov	av-pident	stitle	qseqids
RVW53627.1	1	110	476	0.231	57.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW24808.1	1	63	516	0.122	61.9	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
KYP32010.1	1	53	1210	0.044	66.7	Retrovirus-related__Pol__polyprotein__from__transposon__17.6,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000013_2
KYP39292.1	2	181	487	0.372	60.761	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000003_2,PB64-S175_21-22_K9-21_000185_1
ASL72082.1	1	86	463	0.186	96.5	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
RVW44957.1	1	78	1025	0.076	48.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000013_2
PWA51333.1	1	124	280	0.443	41.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
RVW57760.1	1	62	431	0.144	51.6	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000101_1
RVW57053.1	1	110	790	0.139	57.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ANE06569.1	4	448	463	0.968	98.486	putative__movement__protein__[Cherry__virus__A]__>ANE06571.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83869.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83875.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83879.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83925.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83933.1__putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
KYP54831.1	2	227	834	0.272	78.492	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000062_1,PB64-S175_21-22_K9-21_000064_2
ARI48116.1	2	207	463	0.447	98.094	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1
ARQ83880.1	4	1007	2342	0.43	88.214	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1
RVW39236.1	1	63	753	0.084	60.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
RZC11622.1	2	84	686	0.122	48.674	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Glycine__soja]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
KYP67484.1	2	116	561	0.207	42.453	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
RVW89802.1	1	107	1374	0.078	69.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_2
